All usual residents,1903179,
White,1837575,
Irish Traveller,2609,
Roma,1529,
Indian,9881,
Chinese,9495,
Filipino,4451,
Pakistani,1596,
Arab,1817,
Other Asian,5244,
Black African,8069,
Black Other,2963,
Mixed,14382,
Other ethnicities,3568,

