0-4 years, 113820,
5-9 years,124475,
10-14 years,126918,
15-19 years,113203,
20-24 years,111386,
25-29 years,116409,
30-34 years,126050,
35-39 years,127313,
40-44 years,122163,
45-49 years,121670,
50-54 years,130967,
55-59 years,113049,
60-64 years,129276,
65-69 years,93464,

